GradientMap:,pyramid.png
GradientMap Scale:,10*10
LMap TotalSize:,100
LMap FieldSize:,5
LMap Resolution:,20*20
Mode:,2
Gradient Speed:,0.15000000596046
Explore Speed:,2.5
Target Epsilon:,0.050000000745058
Width Factor:,2
Step Factor:,0.5
CP EpsilonRatio:,0.5
IMU Noise:,0


Time steps,Height
8900,0.074509806931019
8950,0.074509806931019
9000,0.074509806931019
9050,0.074509806931019
9100,0.074509806931019
9150,0.074509806931019
9200,0.074509806931019
9250,0.074509806931019
9300,0.078431375324726
9350,0.078431375324726
9400,0.078431375324726
9450,0.078431375324726
9500,0.078431375324726
9550,0.082352943718433
9600,0.082352943718433
9650,0.082352943718433
9700,0.082352943718433
9750,0.082352943718433
9800,0.082352943718433
9850,0.082352943718433
9900,0.086274512112141
9950,0.086274512112141
10000,0.086274512112141
10050,0.086274512112141
10100,0.086274512112141
10150,0.086274512112141
10200,0.086274512112141
10250,0.086274512112141
10300,0.086274512112141
10350,0.086274512112141
10400,0.090196080505848
10450,0.090196080505848
10500,0.090196080505848
10550,0.090196080505848
10600,0.090196080505848
10650,0.090196080505848
10700,0.090196080505848
10750,0.090196080505848
10800,0.094117648899555
10850,0.094117648899555
10900,0.094117648899555
10950,0.094117648899555
11000,0.094117648899555
11050,0.094117648899555
11100,0.094117648899555
11150,0.094117648899555
11200,0.098039217293262
11250,0.098039217293262
11300,0.098039217293262
11350,0.098039217293262
11400,0.098039217293262
11450,0.098039217293262
11500,0.098039217293262
11550,0.098039217293262
11600,0.098039217293262
11650,0.10196078568697
11700,0.10196078568697
11750,0.10196078568697
11800,0.10196078568697
11850,0.10196078568697
11900,0.10196078568697
11950,0.10196078568697
12000,0.10196078568697
12050,0.10588235408068
12100,0.10588235408068
12150,0.10588235408068
12200,0.10588235408068
12250,0.10588235408068
12300,0.10588235408068
12350,0.10588235408068
12400,0.10588235408068
12450,0.10588235408068
12500,0.10588235408068
12550,0.10588235408068
12600,0.10588235408068
12650,0.10588235408068
12700,0.10588235408068
12750,0.10588235408068
12800,0.10588235408068
12850,0.10588235408068
12900,0.10588235408068
12950,0.10588235408068
13000,0.10588235408068
13050,0.10588235408068
13100,0.10588235408068
13150,0.10588235408068
13200,0.10980392247438
13250,0.10980392247438
13300,0.10980392247438
13350,0.10980392247438
13400,0.10980392247438
13450,0.10980392247438
13500,0.10980392247438
13550,0.10980392247438
13600,0.10980392247438
13650,0.10980392247438
13700,0.10980392247438
13750,0.10980392247438
13800,0.10980392247438
13850,0.10980392247438
13900,0.10980392247438
13950,0.10980392247438
14000,0.10980392247438
14050,0.10980392247438
14100,0.10980392247438
14150,0.10980392247438
14200,0.10980392247438
14250,0.10980392247438
14300,0.10980392247438
14350,0.10980392247438
14400,0.10980392247438
14450,0.10980392247438
14500,0.10980392247438
14550,0.10980392247438
14600,0.10980392247438
14650,0.10980392247438
14700,0.10980392247438
14750,0.10980392247438
14800,0.10980392247438
