Time	UTC	GPS_lat(deg)	GPS_long(deg)	NPS_RATE_ATTITUDE:theta	NPS_RATE_ATTITUDE:phi	NPS_SPEED_POS:ltpp_y	NPS_SPEED_POS:ltpp_x	NPS_SPEED_POS:ltpp_yd	NPS_SPEED_POS:ltpp_xd
28.309	14:02:22.176	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
28.559	14:02:22.426	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
28.809	14:02:22.676	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
29.059	14:02:22.926	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
29.309	14:02:23.176	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
29.559	14:02:23.426	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
29.809	14:02:23.676	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
30.059	14:02:23.926	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
30.309	14:02:24.176	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
30.559	14:02:24.426	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
30.809	14:02:24.676	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
31.059	14:02:24.926	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
31.309	14:02:25.176	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
31.559	14:02:25.426	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	-0.	0.
31.809	14:02:25.676	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	-0.	0.
32.059	14:02:25.926	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	-0.	0.
32.309	14:02:26.176	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	-0.	0.
32.559	14:02:26.426	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	-0.	0.
32.809	14:02:26.676	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	-0.	0.
33.059	14:02:26.926	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	-0.	0.
33.309	14:02:27.176	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
33.559	14:02:27.426	52.138611059	11.645278065	-1.5e-05	-1.4e-05	0.006081	0.004777	0.	0.
