Time	UTC	GPS_lat(deg)	GPS_long(deg)	NPS_RATE_ATTITUDE:phi	NPS_SPEED_POS:ltpp_y	NPS_SPEED_POS:ltpp_yd
49.377	13:53:41.064	52.138610427	11.645296436	5.650837	1.277068	2.344846
49.627	13:53:41.314	52.138610252	11.645303111	1.68552	1.718438	2.457618
49.877	13:53:41.564	52.138610111	11.645309273	-1.399341	2.147613	2.460241
50.127	13:53:41.814	52.138609936	11.645315663	-7.948776	2.588418	2.350569
50.377	13:53:42.064	52.138609795	11.645321426	-14.180177	2.975864	1.997471
50.627	13:53:42.314	52.138609725	11.645326275	-17.040103	3.308318	1.470327
50.877	13:53:42.564	52.138609690	11.645329128	-18.289209	3.50772	0.958204
51.127	13:53:42.814	52.138609725	11.645330954	-19.184914	3.623507	0.386476
51.377	13:53:43.064	52.138609830	11.645331125	-20.02162	3.633422	-0.285149
51.627	13:53:43.314	52.138610006	11.645329641	-20.732848	3.526819	-0.926971
51.877	13:53:43.564	52.138610252	11.645326161	-21.418594	3.285614	-1.639604
52.127	13:53:43.814	52.138610533	11.645320684	-20.177504	2.90872	-2.359867
52.377	13:53:44.064	52.138610813	11.645313267	-15.232957	2.402475	-2.964258
52.627	13:53:44.314	52.138611059	11.645304424	-9.825894	1.806361	-3.378033
52.877	13:53:44.564	52.138611340	11.645294667	-4.864324	1.135097	-3.621578
53.127	13:53:44.814	52.138611586	11.645285025	-0.978358	0.477034	-3.710299
53.377	13:53:45.064	52.138611796	11.645275326	2.25464	-0.212533	-3.687054
53.627	13:53:45.314	52.138611972	11.645265741	4.654203	-0.874541	-3.575802
53.877	13:53:45.564	52.138612147	11.645256042	6.417309	-1.523615	-3.39508
54.127	13:53:45.814	52.138612288	11.645247370	7.564808	-2.121757	-3.173113
54.377	13:53:46.064	52.138612428	11.645239325	8.343908	-2.679666	-2.923727
54.627	13:53:46.314	52.138612498	11.645232023	12.732932	-3.164962	-2.599716
54.877	13:53:46.564	52.138612534	11.645225747	14.843633	-3.585661	-2.17247
55.127	13:53:46.814	52.138612534	11.645221125	15.875336	-3.904165	-1.733303
55.377	13:53:47.064	52.138612463	11.645217246	16.694245	-4.172448	-1.21355
55.627	13:53:47.314	52.138612323	11.645214621	17.48274	-4.350874	-0.634193
55.877	13:53:47.564	52.138612112	11.645213594	18.312275	-4.41465	-0.035763
56.127	13:53:47.814	52.138611796	11.645214393	19.204715	-4.359577	0.605583
56.377	13:53:48.064	52.138611551	11.645216618	20.015185	-4.198146	1.219749
56.627	13:53:48.314	52.138611200	11.645220840	20.173376	-3.903094	1.901865
56.877	13:53:48.564	52.138610989	11.645225918	17.487573	-3.561634	2.431154
57.127	13:53:48.814	52.138610673	11.645232935	13.10746	-3.069137	2.924204
57.377	13:53:49.064	52.138610427	11.645240581	9.113605	-2.548821	3.248214
57.627	13:53:49.314	52.138610182	11.645248910	5.548311	-1.987264	3.45838
57.877	13:53:49.564	52.138610006	11.645256099	2.85225	-1.477406	3.562093
58.127	13:53:49.814	52.138609795	11.645265513	0.035015	-0.831087	3.604412
58.377	13:53:50.064	52.138609620	11.645275497	-2.253784	-0.17381	3.567129
58.627	13:53:50.314	52.138609515	11.645283200	-3.782941	0.376719	3.484607
58.877	13:53:50.564	52.138609409	11.645291187	-5.008084	0.92822	3.361404
59.127	13:53:50.814	52.138609304	11.645299346	-5.959314	1.479812	3.201484
59.377	13:53:51.064	52.138609234	11.645307961	-6.680646	2.050592	2.999782
59.627	13:53:51.314	52.138609199	11.645315606	-7.869854	2.571395	2.786875
59.877	13:53:51.564	52.138609163	11.645322167	-12.691094	3.025565	2.47097
60.127	13:53:51.814	52.138609199	11.645327816	-14.886525	3.415302	2.05183
60.377	13:53:52.064	52.138609269	11.645332836	-16.145223	3.754724	1.534939
60.627	13:53:52.314	52.138609409	11.645336317	-17.07316	3.997674	0.966787
60.877	13:53:52.564	52.138609620	11.645338199	-17.866938	4.119224	0.429153
61.127	13:53:52.814	52.138609866	11.645338599	-18.632227	4.145829	-0.103474
61.377	13:53:53.064	52.138610182	11.645337458	-19.546894	4.062317	-0.763416
61.627	13:53:53.314	52.138610497	11.645334434	-20.406793	3.849749	-1.451969
