GradientMap:,large_hills_smooth.png
GradientMap Scale:,10*10
LMap TotalSize:,100
LMap FieldSize:,5
LMap Resolution:,20*20
Mode:,1
Gradient Speed:,0.15000000596046
Explore Speed:,2.5
Target Epsilon:,0.050000000745058
Width Factor:,2
Step Factor:,0.5
CP EpsilonRatio:,0.5
IMU Noise:,0


Time steps,Height
8850,0.82352942228317
8900,0.82352942228317
8950,0.82352942228317
9000,0.82352942228317
9050,0.82352942228317
9100,0.82352942228317
9150,0.82352942228317
9200,0.82352942228317
9250,0.82352942228317
9300,0.82352942228317
9350,0.82352942228317
9400,0.82352942228317
9450,0.82352942228317
9500,0.82352942228317
9550,0.82352942228317
9600,0.82352942228317
9650,0.82352942228317
9700,0.82352942228317
9750,0.82352942228317
9800,0.82352942228317
9850,0.81960785388947
9900,0.81960785388947
9950,0.81960785388947
10000,0.81960785388947
10050,0.81960785388947
10100,0.81568628549576
10150,0.81568628549576
10200,0.81568628549576
10250,0.81568628549576
10300,0.81176471710205
10350,0.81176471710205
10400,0.81176471710205
10450,0.81176471710205
10500,0.81176471710205
10550,0.81176471710205
10600,0.80784314870834
10650,0.80784314870834
10700,0.80784314870834
10750,0.80784314870834
10800,0.80784314870834
10850,0.80784314870834
10900,0.80392158031464
10950,0.80392158031464
11000,0.80392158031464
11050,0.80392158031464
11100,0.80000001192093
11150,0.80000001192093
11200,0.80000001192093
11250,0.80000001192093
11300,0.80000001192093
11350,0.79607844352722
11400,0.79607844352722
11450,0.79607844352722
11500,0.79607844352722
11550,0.79607844352722
11600,0.79607844352722
11650,0.79607844352722
11700,0.79607844352722
11750,0.79215687513351
11800,0.79215687513351
11850,0.79215687513351
11900,0.79215687513351
11950,0.79215687513351
12000,0.79215687513351
12050,0.79215687513351
12100,0.79215687513351
12150,0.79215687513351
12200,0.79215687513351
12250,0.79215687513351
12300,0.79215687513351
12350,0.79215687513351
12400,0.79215687513351
12450,0.79607844352722
12500,0.79607844352722
12550,0.79607844352722
12600,0.79607844352722
12650,0.79607844352722
12700,0.79607844352722
12750,0.79607844352722
12800,0.79607844352722
12850,0.79607844352722
12900,0.79607844352722
12950,0.79607844352722
13000,0.79607844352722
13050,0.79607844352722
13100,0.79607844352722
13150,0.79607844352722
13200,0.79607844352722
13250,0.79607844352722
13300,0.79607844352722
13350,0.79607844352722
13400,0.80000001192093
13450,0.80000001192093
13500,0.80000001192093
13550,0.80000001192093
13600,0.80000001192093
13650,0.80000001192093
13700,0.80000001192093
13750,0.80000001192093
13800,0.80000001192093
13850,0.80000001192093
13900,0.80000001192093
13950,0.80000001192093
14000,0.80392158031464
14050,0.80392158031464
14100,0.80392158031464
14150,0.80392158031464
14200,0.80392158031464
14250,0.80392158031464
14300,0.80392158031464
14350,0.80392158031464
14400,0.80392158031464
14450,0.80392158031464
14500,0.80392158031464
14550,0.80784314870834
14600,0.80784314870834
14650,0.80784314870834
14700,0.80784314870834
