Time	UTC	GPS_lat(deg)	GPS_long(deg)	NPS_SPEED_POS:ltpp_y	NPS_SPEED_POS:ltpp_x
49.298	05:12:5.298	52.138596455	11.645210000	-4.662276	-1.617162
49.548	05:12:5.548	52.138600878	11.645214906	-4.327494	-1.125024
49.798	05:12:5.798	52.138604565	11.645220783	-3.911144	-0.704274
50.048	05:12:6.048	52.138607478	11.645227173	-3.475178	-0.384663
50.298	05:12:6.298	52.138609620	11.645233449	-3.050997	-0.152108
50.548	05:12:6.548	52.138610989	11.645238983	-2.678276	0.003045
50.798	05:12:6.798	52.138612042	11.645244346	-2.311452	0.118913
51.048	05:12:7.048	52.138613271	11.645250793	-1.847209	0.261196
51.298	05:12:7.298	52.138615131	11.645258895	-1.300372	0.468411
51.548	05:12:7.548	52.138617624	11.645267852	-0.674228	0.753009
51.798	05:12:7.798	52.138620889	11.645278179	0.045699	1.121729
52.048	05:12:8.048	52.138624750	11.645289533	0.788191	1.533023
52.298	05:12:8.298	52.138628401	11.645299688	1.515448	1.957964
52.548	05:12:8.548	52.138632017	11.645309387	2.162469	2.350924
52.798	05:12:8.798	52.138635458	11.645318345	2.786422	2.741993
53.048	05:12:9.048	52.138638863	11.645326903	3.348232	3.104596
53.298	05:12:9.298	52.138641847	11.645333977	3.83321	3.439664
53.548	05:12:9.548	52.138645217	11.645339740	4.225448	3.812514
53.798	05:12:9.798	52.138648833	11.645343620	4.495277	4.223147
54.048	05:12:10.048	52.138653537	11.645346472	4.688828	4.756309
54.298	05:12:10.298	52.138659014	11.645347556	4.760945	5.356699
54.548	05:12:10.548	52.138664385	11.645346815	4.706628	5.94741
54.798	05:12:10.798	52.138669721	11.645344247	4.520895	6.561179
55.048	05:12:11.048	52.138675057	11.645339797	4.226332	7.138285
55.298	05:12:11.298	52.138680042	11.645334206	3.843759	7.686291
55.548	05:12:11.548	52.138684325	11.645328158	3.41228	8.183088
55.798	05:12:11.798	52.138688362	11.645321483	2.953559	8.630117
56.048	05:12:12.048	52.138691838	11.645314865	2.524144	8.996243
56.298	05:12:12.298	52.138694611	11.645308646	2.082528	9.31408
56.548	05:12:12.548	52.138696682	11.645301286	1.573551	9.541094
56.798	05:12:12.798	52.138697700	11.645292499	0.978024	9.652051
57.048	05:12:13.048	52.138697700	11.645283200	0.340748	9.648442
57.298	05:12:13.298	52.138696787	11.645273900	-0.311549	9.543938
57.548	05:12:13.548	52.138694786	11.645263288	-1.013003	9.327117
57.798	05:12:13.798	52.138692575	11.645255129	-1.604703	9.065577
58.048	05:12:14.048	52.138689626	11.645246343	-2.189214	8.741961
58.298	05:12:14.298	52.138685694	11.645236758	-2.832045	8.313459
58.548	05:12:14.548	52.138682043	11.645229113	-3.364332	7.898382
58.798	05:12:14.798	52.138678603	11.645222780	-3.804052	7.508278
59.048	05:12:15.048	52.138675197	11.645217417	-4.171576	7.127688
59.298	05:12:15.298	52.138670950	11.645212910	-4.46927	6.662964
59.548	05:12:15.548	52.138666105	11.645210342	-4.644401	6.114488
59.798	05:12:15.798	52.138660032	11.645209429	-4.701539	5.442476
60.048	05:12:16.048	52.138653151	11.645210456	-4.632162	4.695052
60.298	05:12:16.298	52.138646481	11.645212967	-4.453835	3.938482
60.548	05:12:16.548	52.138639354	11.645217074	-4.160453	3.121104
60.798	05:12:16.798	52.138630964	11.645223579	-3.716872	2.195624
61.048	05:12:17.048	52.138623206	11.645231053	-3.216924	1.35749
61.298	05:12:17.298	52.138614921	11.645240524	-2.556406	0.417984
61.548	05:12:17.548	52.138606250	11.645251763	-1.800345	-0.534885
61.798	05:12:17.798	52.138598210	11.645263060	-1.021768	-1.431935
62.048	05:12:18.048	52.138590979	11.645273957	-0.27792	-2.231351
62.298	05:12:18.298	52.138588943	11.645277152	-0.053863	-2.462949
62.548	05:12:18.548	52.138585011	11.645283485	0.406881	-2.927091
62.798	05:12:18.798	52.138579499	11.645292728	1.030938	-3.530624
63.048	05:12:19.048	52.138574830	11.645300943	1.579583	-4.036601
63.298	05:12:19.298	52.138569599	11.645310700	2.242913	-4.612991
63.548	05:12:19.548	52.138565246	11.645319429	2.840217	-5.09517
63.798	05:12:19.798	52.138561384	11.645326675	3.350697	-5.543411
64.048	05:12:20.048	52.138557031	11.645333065	3.777664	-6.017869
64.298	05:12:20.298	52.138552187	11.645338256	4.123755	-6.543216
64.548	05:12:20.548	52.138547623	11.645341508	4.351438	-7.072636
64.798	05:12:20.798	52.138542989	11.645343049	4.452342	-7.580016
65.048	05:12:21.048	52.138538811	11.645342650	4.420297	-8.048094
65.298	05:12:21.298	52.138535160	11.645340310	4.253004	-8.454812
65.548	05:12:21.548	52.138532457	11.645336773	4.018348	-8.741914
65.798	05:12:21.798	52.138530562	11.645332836	3.734624	-8.96111
66.048	05:12:22.048	52.138528877	11.645327416	3.380801	-9.140097
66.298	05:12:22.298	52.138527718	11.645321540	2.960834	-9.272491
66.548	05:12:22.548	52.138527121	11.645316519	2.630378	-9.334982
66.798	05:12:22.798	52.138526770	11.645310528	2.219611	-9.374443
67.048	05:12:23.048	52.138526735	11.645304880	1.827443	-9.378112
67.298	05:12:23.298	52.138527051	11.645298547	1.384992	-9.337108
67.548	05:12:23.548	52.138528139	11.645289989	0.816908	-9.219148
67.798	05:12:23.798	52.138530140	11.645280689	0.153782	-8.98695
68.048	05:12:24.048	52.138533230	11.645270819	-0.530616	-8.637391
68.298	05:12:24.298	52.138537267	11.645260664	-1.193549	-8.204537
68.548	05:12:24.548	52.138541936	11.645250793	-1.898095	-7.660586
68.798	05:12:24.798	52.138547167	11.645240980	-2.556013	-7.087489
69.048	05:12:25.048	52.138551836	11.645232993	-3.104584	-6.569214
69.298	05:12:25.298	52.138556540	11.645225347	-3.623789	-6.050862
69.548	05:12:25.548	52.138561139	11.645218672	-4.084689	-5.526179
69.798	05:12:25.798	52.138566194	11.645213366	-4.43742	-4.975567
70.048	05:12:26.048	52.138571460	11.645209658	-4.694793	-4.375659
70.298	05:12:26.298	52.138577287	11.645207204	-4.856285	-3.728433
70.548	05:12:26.548	52.138583466	11.645206406	-4.909555	-3.045237
70.798	05:12:26.798	52.138589083	11.645207261	-4.849266	-2.440325
71.048	05:12:27.048	52.138594208	11.645209772	-4.67145	-1.85539
71.298	05:12:27.298	52.138599018	11.645214051	-4.38319	-1.332226
71.548	05:12:27.548	52.138603020	11.645219528	-4.001047	-0.877016
71.798	05:12:27.798	52.138606250	11.645225690	-3.572503	-0.515951
72.048	05:12:28.048	52.138608637	11.645231851	-3.159722	-0.25877
72.298	05:12:28.298	52.138610076	11.645236644	-2.827474	-0.099095
72.548	05:12:28.548	52.138611164	11.645241379	-2.499603	0.024092
72.798	05:12:28.798	52.138612428	11.645247883	-2.066508	0.162407
73.048	05:12:29.048	52.138614078	11.645255072	-1.576677	0.344214
73.298	05:12:29.298	52.138616395	11.645263516	-0.971701	0.615912
73.548	05:12:29.548	52.138619520	11.645273501	-0.30917	0.953131
73.798	05:12:29.798	52.138623136	11.645284113	0.417112	1.351946
74.048	05:12:30.048	52.138626541	11.645293812	1.086278	1.737191
74.298	05:12:30.298	52.138629981	11.645303226	1.751096	2.132379
74.548	05:12:30.548	52.138633562	11.645312696	2.401481	2.52908
74.798	05:12:30.798	52.138636897	11.645321426	2.967017	2.881883
75.048	05:12:31.048	52.138639776	11.645328786	3.501006	3.222274
75.298	05:12:31.298	52.138642970	11.645335917	3.979285	3.575069
75.548	05:12:31.548	52.138646762	11.645341394	4.349121	3.995561
75.798	05:12:31.798	52.138651396	11.645345160	4.602129	4.511086
76.048	05:12:32.048	52.138656662	11.645347043	4.727904	5.102703
76.298	05:12:32.298	52.138661962	11.645347043	4.721977	5.69615
76.548	05:12:32.548	52.138667579	11.645345103	4.58568	6.316135
76.798	05:12:32.798	52.138673056	11.645341280	4.32808	6.913243
77.048	05:12:33.048	52.138678181	11.645336089	3.963456	7.495111
77.298	05:12:33.298	52.138682886	11.645330041	3.547991	8.014247
77.548	05:12:33.548	52.138686677	11.645324221	3.144245	8.439962
77.798	05:12:33.798	52.138690258	11.645317945	2.733273	8.82034
78.048	05:12:34.048	52.138693312	11.645311841	2.296816	9.177458
78.298	05:12:34.298	52.138695875	11.645304994	1.831382	9.45273
78.548	05:12:34.548	52.138697349	11.645297406	1.300671	9.614451
78.798	05:12:34.798	52.138697841	11.645288620	0.701633	9.665686
79.048	05:12:35.048	52.138697419	11.645279491	0.066873	9.614511
79.298	05:12:35.298	52.138696050	11.645269564	-0.587221	9.466722
79.548	05:12:35.548	52.138693979	11.645260150	-1.261192	9.219925
79.798	05:12:35.798	52.138691241	11.645251078	-1.878781	8.916955
80.048	05:12:36.048	52.138688116	11.645242520	-2.466791	8.565119
80.298	05:12:36.298	52.138684571	11.645234191	-3.015597	8.181515
80.548	05:12:36.548	52.138681130	11.645227173	-3.500994	7.794549
80.798	05:12:36.798	52.138677549	11.645220669	-3.931775	7.407296
81.048	05:12:37.048	52.138673828	11.645215021	-4.32286	6.990423
81.298	05:12:37.298	52.138669861	11.645211198	-4.588028	6.537841
81.548	05:12:37.548	52.138664806	11.645208973	-4.736146	5.962659
81.798	05:12:37.798	52.138658733	11.645208631	-4.75348	5.30712
82.048	05:12:38.048	52.138652273	11.645210114	-4.651778	4.588179
82.298	05:12:38.298	52.138644831	11.645213537	-4.406194	3.731421
82.548	05:12:38.548	52.138636827	11.645218957	-4.034445	2.842428
82.798	05:12:38.798	52.138629279	11.645225404	-3.582426	1.997281
83.048	05:12:39.048	52.138620608	11.645234533	-2.964971	1.048064
83.298	05:12:39.298	52.138612323	11.645244574	-2.257957	0.10617
83.548	05:12:39.548	52.138604178	11.645255586	-1.514663	-0.789939
83.798	05:12:39.798	52.138595788	11.645267795	-0.687731	-1.712109
84.048	05:12:40.048	52.138588276	11.645279377	0.110317	-2.547865
84.298	05:12:40.298	52.138581325	11.645290731	0.902421	-3.334125
84.548	05:12:40.548	52.138575146	11.645301400	1.626724	-4.015619
