GradientMap:,pyramid.png
GradientMap Scale:,10*10
LMap TotalSize:,100
LMap FieldSize:,5
LMap Resolution:,20*20
Mode:,1
Gradient Speed:,0.15000000596046
Explore Speed:,2.5
Target Epsilon:,0.050000000745058
Width Factor:,2
Step Factor:,0.5
CP EpsilonRatio:,0.5
IMU Noise:,0.5


Time steps,Height
8900,0.58823531866074
8950,0.59215688705444
9000,0.59215688705444
9050,0.59215688705444
9100,0.59215688705444
9150,0.59215688705444
9200,0.59215688705444
9250,0.59215688705444
9300,0.59215688705444
9350,0.59215688705444
9400,0.59607845544815
9450,0.59607845544815
9500,0.59607845544815
9550,0.59607845544815
9600,0.59607845544815
9650,0.59607845544815
9700,0.59607845544815
9750,0.59607845544815
9800,0.59607845544815
9850,0.59607845544815
9900,0.59607845544815
9950,0.59607845544815
10000,0.59607845544815
10050,0.59607845544815
10100,0.59607845544815
10150,0.59607845544815
10200,0.59607845544815
10250,0.59607845544815
10300,0.59607845544815
10350,0.59607845544815
10400,0.59607845544815
10450,0.59607845544815
10500,0.59607845544815
10550,0.59607845544815
10600,0.59607845544815
10650,0.59607845544815
10700,0.59607845544815
10750,0.59607845544815
10800,0.59607845544815
10850,0.59607845544815
10900,0.59607845544815
10950,0.59607845544815
11000,0.59607845544815
11050,0.59607845544815
11100,0.59607845544815
11150,0.59607845544815
11200,0.59607845544815
11250,0.59607845544815
11300,0.59607845544815
11350,0.59607845544815
11400,0.59607845544815
11450,0.59607845544815
11500,0.59607845544815
11550,0.59607845544815
11600,0.59607845544815
11650,0.59607845544815
11700,0.59607845544815
11750,0.59607845544815
11800,0.59607845544815
11850,0.59607845544815
11900,0.59607845544815
11950,0.59607845544815
12000,0.59607845544815
12050,0.59607845544815
12100,0.59607845544815
12150,0.59607845544815
12200,0.59607845544815
12250,0.59607845544815
12300,0.59607845544815
12350,0.59607845544815
12400,0.59607845544815
12450,0.59607845544815
12500,0.59215688705444
12550,0.59215688705444
12600,0.59215688705444
12650,0.59215688705444
12700,0.59215688705444
12750,0.59215688705444
12800,0.59215688705444
12850,0.59215688705444
12900,0.59215688705444
12950,0.59215688705444
13000,0.59215688705444
13050,0.59215688705444
13100,0.59215688705444
13150,0.59215688705444
13200,0.59215688705444
13250,0.59215688705444
13300,0.59215688705444
13350,0.59215688705444
13400,0.59215688705444
13450,0.59215688705444
13500,0.59215688705444
13550,0.59215688705444
13600,0.59215688705444
13650,0.59215688705444
13700,0.59215688705444
13750,0.59215688705444
13800,0.59215688705444
13850,0.59215688705444
13900,0.59215688705444
13950,0.59215688705444
14000,0.59215688705444
14050,0.59215688705444
14100,0.59215688705444
14150,0.59215688705444
14200,0.59215688705444
14250,0.59215688705444
14300,0.59215688705444
14350,0.59215688705444
14400,0.59215688705444
14450,0.59215688705444
14500,0.59215688705444
14550,0.59215688705444
14600,0.59215688705444
14650,0.59215688705444
14700,0.59215688705444
14750,0.59215688705444
14800,0.59215688705444
